epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.623,1.05051,0.85301,1.17469,0.79838,0.64173,0.72522,0.47485,1.10474,0.76659,1.19827,0.000222054,0.000222054,0.000222054
2,497.675,1.10451,0.92648,1.20814,0.82042,0.60674,0.67806,0.4452,1.14802,0.84844,1.22441,0.00042239,0.00042239,0.00042239
3,743.104,1.13254,0.97293,1.22938,0.85296,0.55808,0.66626,0.42345,1.1693,0.89134,1.2428,0.000600715,0.000600715,0.000600715
4,985.779,1.14025,1.00027,1.2359,0.65518,0.64915,0.66859,0.43088,1.16698,0.87819,1.24003,0.00056795,0.00056795,0.00056795
5,1225.51,1.12858,0.96217,1.2267,0.82913,0.58469,0.66821,0.43974,1.16611,0.85407,1.24699,0.000534934,0.000534934,0.000534934
6,1468.22,1.1137,0.93835,1.20986,0.89589,0.62219,0.69756,0.45653,1.14129,0.80392,1.22857,0.000501917,0.000501917,0.000501917
7,1707.66,1.09332,0.90593,1.20264,0.75256,0.63933,0.69146,0.46434,1.13869,0.7878,1.21504,0.000468901,0.000468901,0.000468901
8,1944.95,1.08596,0.88736,1.19894,0.882,0.60041,0.69497,0.46704,1.11931,0.78876,1.20579,0.000435884,0.000435884,0.000435884
9,2182.22,1.06898,0.8596,1.18636,0.80359,0.62864,0.71636,0.47789,1.11913,0.75927,1.20381,0.000402868,0.000402868,0.000402868
10,2419.48,1.05262,0.8505,1.1782,0.88615,0.66204,0.72149,0.4827,1.10211,0.75567,1.18988,0.000369851,0.000369851,0.000369851
11,2646.72,0.98766,0.69179,1.14527,0.78319,0.68855,0.73216,0.4827,1.10162,0.73053,1.19814,0.000336835,0.000336835,0.000336835
12,2871.18,0.96481,0.66425,1.12774,0.89665,0.64224,0.72208,0.48534,1.10938,0.73866,1.19722,0.000303818,0.000303818,0.000303818
13,3092.65,0.94479,0.63507,1.11398,0.78086,0.67546,0.71526,0.49226,1.09542,0.71746,1.19517,0.000270802,0.000270802,0.000270802
14,3315.79,0.92309,0.611,1.10158,0.81812,0.65623,0.73749,0.50245,1.09548,0.71542,1.19109,0.000237785,0.000237785,0.000237785
15,3538.94,0.90427,0.58573,1.0862,0.80458,0.65087,0.7205,0.49079,1.08372,0.70176,1.18565,0.000204769,0.000204769,0.000204769
16,3763.29,0.89223,0.57262,1.08493,0.9202,0.65774,0.72418,0.49812,1.10747,0.69849,1.19272,0.000171752,0.000171752,0.000171752
17,3991.44,0.87107,0.55174,1.07183,0.82199,0.64988,0.71625,0.49785,1.08126,0.69371,1.18863,0.000138736,0.000138736,0.000138736
18,4213.66,0.8557,0.54068,1.05816,0.68604,0.70342,0.7363,0.50892,1.0694,0.6778,1.18182,0.00010572,0.00010572,0.00010572
19,4440.1,0.84589,0.52708,1.05534,0.83557,0.67161,0.72491,0.50394,1.07186,0.67861,1.18441,7.2703e-05,7.2703e-05,7.2703e-05
20,4667.28,0.83886,0.51785,1.05041,0.71104,0.69347,0.73572,0.51193,1.06717,0.67175,1.17972,3.96865e-05,3.96865e-05,3.96865e-05
